NATURALIST OBSERVATORY: TAXONOMY CENSUS
=======================================

[PRODUCERS FOUND]: 108
SYS             | SIG                  | VIA             | LOCATION
MIGRATION       | DEPARTURE            | Visitant        | species/benthic/0.1.0/deepsea_client.rs:362
MIGRATION       | ENTRY                | Visitant        | species/benthic/0.1.0/deepsea_client.rs:381
RANGER          | INTERVENTION         | Visitant        | species/benthic/0.1.0/deepsea_client.rs:386
MIGRATION       | DENIAL               | Visitant        | species/benthic/0.1.0/deepsea_client.rs:413
SENSORY         | TREMOR               | Visitant        | species/benthic/0.1.0/deepsea_client.rs:419
SENSORY         | AUDITION             | Visitant        | species/benthic/0.1.0/deepsea_client.rs:426
SENSORY         | AUDITION             | Visitant        | species/benthic/0.1.0/deepsea_client.rs:429
RANGER          | INTERVENTION         | Visitant        | species/benthic/0.1.0/deepsea_client.rs:431
PHYSICS         | WIRE_FORMAT          | Visitant        | species/benthic/0.1.0/patches/instrumentation/observatory_crates_messages_src_packet_packet.patch:58
RANGER          | INTERVENTION         | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:43
STATE           | STATUS               | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:87
DEBUG           | Stdin                | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:101
RANGER          | INTERVENTION         | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:105
DEBUG           | Command              | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:115
RANGER          | INTERVENTION         | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:121
RANGER          | INTERVENTION         | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:138
RANGER          | INTERVENTION         | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:140
RANGER          | INTERVENTION         | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:145
RANGER          | INTERVENTION         | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:147
RANGER          | INTERVENTION         | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:151
RANGER          | INTERVENTION         | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:159
MIGRATION       | DEPARTURE            | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:164
RANGER          | INTERVENTION         | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:166
MIGRATION       | DEPARTURE            | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:175
STATE           | IDENTITY             | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:179
RANGER          | INTERVENTION         | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:181
STATE           | PROPRIOCEPTION       | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:185
RANGER          | INTERVENTION         | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:187
SENSORY         | VISION               | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:194
SENSORY         | VISION               | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:196
STATE           | STASIS               | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:203
RANGER          | INTERVENTION         | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:205
STATE           | STASIS               | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:213
RANGER          | INTERVENTION         | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:215
RANGER          | INTERVENTION         | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:219
RANGER          | INTERVENTION         | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:222
MIGRATION       | HANDSHAKE            | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:233
MIGRATION       | ENTRY                | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:240
STATE           | PROPRIOCEPTION       | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:254
MIGRATION       | DENIAL               | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:267
SENSORY         | AUDITION             | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:298
SENSORY         | AUDITION             | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:312
MOTOR           | VOCALIZATION         | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:396
SENSORY         | VISION               | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:417
SENSORY         | VISION               | Visitant        | species/hippolyzer-client/0.17.0/deepsea_client.py:436

[CONSUMERS FOUND]: 56
SYS             | SIG                  | TYPE       | LOCATION
--------------------------------------------------------------------------------
...             | ...                  | Contains   | species/hippolyzer-client/0.17.0/README.md:12
STATE           | STATUS               | Contains   | species/hippolyzer-client/0.17.0/README.md:65
MIGRATION       | ENTRY                | Contains   | species/hippolyzer-client/0.17.0/README.md:66
SENSORY         | AUDITION             | Contains   | species/hippolyzer-client/0.17.0/README.md:67
MIGRATION       | ENTRY                | Contains   | observatory/scenarios/benthic.md:56
MIGRATION       | ENTRY                | Contains   | observatory/scenarios/benthic.md:68
MIGRATION       | DEPARTURE            | Contains   | observatory/scenarios/benthic.md:96
*               | ARRIVAL              | Query      | observatory/scenarios/human_visitant_teleplay.md:96
MIGRATION       | ENTRY                | Contains   | observatory/scenarios/dna_verification.md:67
MIGRATION       | ENTRY                | Contains   | observatory/scenarios/dna_verification.md:92
MIGRATION       | ENTRY                | Contains   | observatory/scenarios/dna_verification.md:109
TERRITORY       | SIGNAL               | Contains   | observatory/scenarios/benthic_TDD_chat.md:134
SENSORY         | AUDITION             | Contains   | observatory/scenarios/benthic_TDD_chat.md:142
SENSORY         | AUDITION             | Contains   | observatory/scenarios/benthic_TDD_chat.md:150
TERRITORY       | SIGNAL               | Contains   | observatory/scenarios/benthic_TDD_chat.md:165
